epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.68436,1.95558,5.80483,1.00905,0.75928,0.02083,0.03355,0.02045,1.32813,5.23302,0.88665,0,0,0
2,15.5549,2.12022,5.91778,1.01955,0.75965,0.02083,0.03345,0.02033,1.33881,5.24308,0.88737,1.75994e-06,1.75994e-06,1.75994e-06
3,23.0821,1.99055,5.78122,1.02007,0.75982,0.02083,0.03343,0.02099,1.33694,5.2506,0.88503,3.39976e-06,3.39976e-06,3.39976e-06
4,30.603,1.95603,5.73582,0.98332,0.75985,0.02083,0.03348,0.02104,1.32705,5.26545,0.88072,4.91946e-06,4.91946e-06,4.91946e-06
5,38.562,1.80529,5.7214,0.99971,0.80111,0.02083,0.03311,0.0215,1.30993,5.26408,0.87727,6.31904e-06,6.31904e-06,6.31904e-06
6,47.3173,2.0557,5.71624,0.9746,0.82008,0.02083,0.03405,0.02497,1.29363,5.25256,0.87414,7.5985e-06,7.5985e-06,7.5985e-06
7,55.3256,1.65987,5.4847,0.97379,0.74885,0.02778,0.03539,0.0259,1.26973,5.24069,0.87085,8.75784e-06,8.75784e-06,8.75784e-06
8,63.1231,1.84781,5.42627,0.95591,0.01022,0.07697,0.03766,0.02761,1.23851,5.22188,0.8672,9.79706e-06,9.79706e-06,9.79706e-06
9,71.2234,1.56662,5.52746,0.93433,0.01129,0.07812,0.02873,0.02132,1.20252,5.20435,0.86266,1.07162e-05,1.07162e-05,1.07162e-05
10,78.6554,1.58342,5.50163,0.92505,0.01214,0.08507,0.03186,0.02324,1.16679,5.17876,0.85664,1.15151e-05,1.15151e-05,1.15151e-05
11,86.635,1.58511,5.27296,0.90362,0.01232,0.08507,0.02897,0.02146,1.12734,5.14536,0.85066,1.2194e-05,1.2194e-05,1.2194e-05
12,94.1099,1.44011,5.1595,0.88194,0.01939,0.09201,0.03036,0.02366,1.08149,5.10527,0.84656,1.27527e-05,1.27527e-05,1.27527e-05
13,101.679,1.46723,5.12293,0.88795,0.01094,0.08507,0.02558,0.02083,1.0402,5.06955,0.83849,1.31914e-05,1.31914e-05,1.31914e-05
14,109.101,1.27446,5.00519,0.8816,0.01315,0.09201,0.02245,0.01904,1.00008,5.0367,0.83234,1.35099e-05,1.35099e-05,1.35099e-05
15,116.485,1.30685,4.94451,0.85749,0.01407,0.10417,0.02206,0.01829,0.96014,4.99132,0.82724,1.37082e-05,1.37082e-05,1.37082e-05
16,123.998,1.29625,4.85086,0.84718,0.01201,0.09606,0.02333,0.02053,0.93028,4.95348,0.82196,1.37865e-05,1.37865e-05,1.37865e-05
17,131.891,1.22396,4.76356,0.85785,0.01162,0.09606,0.02264,0.01914,0.91039,4.92269,0.81814,1.37446e-05,1.37446e-05,1.37446e-05
18,139.351,1.18211,4.80039,0.8504,0.01162,0.09606,0.02264,0.01914,0.91039,4.92269,0.81814,1.35827e-05,1.35827e-05,1.35827e-05
19,147.469,1.18493,4.71046,0.86744,0.01021,0.10301,0.02135,0.01832,0.89315,4.87476,0.81319,1.33006e-05,1.33006e-05,1.33006e-05
20,154.964,1.16443,4.64407,0.85586,0.01021,0.10301,0.02135,0.01832,0.89315,4.87476,0.81319,1.28983e-05,1.28983e-05,1.28983e-05
21,163.032,1.22875,4.83792,0.83417,0.00924,0.10301,0.02169,0.01861,0.87566,4.82566,0.80911,1.2376e-05,1.2376e-05,1.2376e-05
22,170.781,1.05228,4.64442,0.83756,0.00924,0.10301,0.02169,0.01861,0.87566,4.82566,0.80911,1.17335e-05,1.17335e-05,1.17335e-05
23,179.375,1.22209,4.63039,0.86781,0.0092,0.10995,0.02027,0.01729,0.86944,4.77947,0.80651,1.0971e-05,1.0971e-05,1.0971e-05
24,186.483,1.15918,4.72414,0.83344,0.0092,0.10995,0.02027,0.01729,0.86944,4.77947,0.80651,1.00883e-05,1.00883e-05,1.00883e-05
25,193.756,1.08862,4.4491,0.84861,0.01052,0.125,0.02158,0.01811,0.86744,4.73219,0.80509,9.08544e-06,9.08544e-06,9.08544e-06
26,201.122,1.04342,4.36559,0.84082,0.01052,0.125,0.02158,0.01811,0.86744,4.73219,0.80509,7.9625e-06,7.9625e-06,7.9625e-06
27,208.909,1.17335,4.47153,0.85097,0.01041,0.125,0.02223,0.01851,0.86761,4.6922,0.80422,6.71944e-06,6.71944e-06,6.71944e-06
28,216.205,1.06627,4.55527,0.8339,0.01041,0.125,0.02223,0.01851,0.86761,4.6922,0.80422,5.35626e-06,5.35626e-06,5.35626e-06
29,223.551,1.17312,4.57736,0.85474,0.01136,0.14583,0.02593,0.02138,0.87343,4.65452,0.80387,3.87296e-06,3.87296e-06,3.87296e-06
30,230.72,1.03778,4.41631,0.83165,0.01136,0.14583,0.02593,0.02138,0.87343,4.65452,0.80387,2.26954e-06,2.26954e-06,2.26954e-06
